delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,evaluation_end,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
weekend,216,25.193628472222226,33.01370259746936,0.432553679488168,0.1,0.14285714285714285,7,10,DE_LU,Weekly seasonal,False,False,2025-06-30,,,,,
overall,720,28.94914927476676,36.73617161101962,0.422314840271561,,0.0,43,0,DE_LU,SARIMAX,False,False,2025-06-30,,,,,
weekday_offpeak,252,25.998404681721684,36.63566216785766,0.2601741055499765,,0.0,27,0,DE_LU,SARIMAX,False,False,2025-06-30,,,,,
weekday_peak,252,33.189454731597536,38.50621311593035,0.7214594729287014,,0.0,9,0,DE_LU,SARIMAX,False,False,2025-06-30,,,,,
weekend,216,27.444661600350106,34.68098603855282,0.4712020489874262,,0.0,7,0,DE_LU,SARIMAX,False,False,2025-06-30,,,,,
overall,720,22.528600130862262,30.239445447480943,0.3286508379056199,0.4222222222222222,0.4418604651162791,43,45,DE_LU,SARIMAX,False,True,2025-06-30,,,,,
weekday_offpeak,252,16.631546890501998,24.65399268260724,0.1664370521623213,0.5185185185185185,0.5185185185185185,27,27,DE_LU,SARIMAX,False,True,2025-06-30,,,,,
weekday_peak,252,25.83619101682072,31.85871181289846,0.5616170830229099,,0.0,9,0,DE_LU,SARIMAX,False,True,2025-06-30,,,,,
weekend,216,25.549639544331036,33.982601196357216,0.4386660939563334,0.2777777777777778,0.7142857142857143,7,18,DE_LU,SARIMAX,False,True,2025-06-30,,,,,
overall,720,20.404283298001932,27.835396159358808,0.29766096267852393,0.45454545454545453,0.46511627906976744,43,44,DE_LU,LightGBM,False,False,2025-06-30,,,,,
weekday_offpeak,252,17.48860317822887,26.26576129447356,0.17501388046371674,0.5714285714285714,0.5925925925925926,27,28,DE_LU,LightGBM,False,False,2025-06-30,,,,,
weekday_peak,252,25.65062414932659,32.827944600424736,0.5575833025496234,0.2222222222222222,0.2222222222222222,9,9,DE_LU,LightGBM,False,False,2025-06-30,,,,,
weekend,216,17.685179111191744,22.81533273006407,0.3036398391517013,0.2857142857142857,0.2857142857142857,7,7,DE_LU,LightGBM,False,False,2025-06-30,,,,,
overall,720,17.895257708260548,24.22611266463248,0.26105889430297824,0.6086956521739131,0.6511627906976745,43,46,DE_LU,LightGBM,False,True,2025-06-30,,,,,
weekday_offpeak,252,14.774306574606676,22.380271489927914,0.14785107183410748,0.72,0.6666666666666666,27,25,DE_LU,LightGBM,False,True,2025-06-30,,,,,
weekday_peak,252,22.47165494615626,28.299761872020365,0.48848010503332473,0.5,0.5555555555555556,9,10,DE_LU,LightGBM,False,True,2025-06-30,,,,,
weekend,216,16.19723725331173,20.919764095856657,0.27809311307371326,0.45454545454545453,0.7142857142857143,7,11,DE_LU,LightGBM,False,True,2025-06-30,,,,,
overall,720,12.943951366910017,19.26570391662867,0.18882844197305002,0.8333333333333334,0.813953488372093,43,42,DE_LU,LightGBM,True,False,2025-06-30,,,,,
weekday_offpeak,252,10.872544880873994,16.60191528756828,0.10880493145881902,0.8214285714285714,0.8518518518518519,27,28,DE_LU,LightGBM,True,False,2025-06-30,,,,,
weekday_peak,252,15.604122458833427,22.040771808170163,0.3391963518444642,0.875,0.7777777777777778,9,8,DE_LU,LightGBM,True,False,2025-06-30,,,,,
weekend,216,12.257059326708067,18.678920633770005,0.2104435300900779,0.8333333333333334,0.7142857142857143,7,6,DE_LU,LightGBM,True,False,2025-06-30,,,,,
overall,720,12.616688034528897,19.18980303742566,0.18405427190575413,0.8636363636363636,0.8837209302325582,43,44,DE_LU,LightGBM,True,True,2025-06-30,,,,,
weekday_offpeak,252,10.420003051120883,16.06060761052106,0.10427620489957969,0.8928571428571429,0.9259259259259259,27,28,DE_LU,LightGBM,True,True,2025-06-30,,,,,
weekday_peak,252,15.45055440757028,22.233117649646154,0.33585814920694035,0.875,0.7777777777777778,9,8,DE_LU,LightGBM,True,True,2025-06-30,,,,,
weekend,216,11.873309746623303,18.704671215184366,0.20385486847467293,0.75,0.8571428571428571,7,8,DE_LU,LightGBM,True,True,2025-06-30,,,,,
overall,720,19.53834678902451,27.92454888089131,0.28502854177374554,0.47368421052631576,0.4186046511627907,43,38,DE_LU,Quantile LightGBM,False,False,2025-06-30,5.574336784108931,9.769173394512254,5.274699508181152,0.5472222222222223,40.07917161878442
weekday_offpeak,252,16.923527237376206,26.679570429237778,0.169358990124137,0.5652173913043478,0.48148148148148145,27,23,DE_LU,Quantile LightGBM,False,False,2025-06-30,4.035970453918931,8.461763618688103,5.337779372575486,0.5753968253968254,35.148821871192276
weekday_peak,252,24.196857229770853,31.794824002571243,0.5259818820374227,0.25,0.2222222222222222,9,8,DE_LU,Quantile LightGBM,False,False,2025-06-30,6.065893541513954,12.098428614885426,6.968133169731248,0.5079365079365079,47.40161783531674
weekend,216,17.154040751743462,24.278373169427244,0.29452063458972344,0.42857142857142855,0.42857142857142855,7,7,DE_LU,Quantile LightGBM,False,False,2025-06-30,6.7956146190247395,8.577020375871731,3.22543372791265,0.5601851851851852,37.28839240502087
overall,720,17.61990430107247,25.103869988119357,0.25704199456367494,0.5806451612903226,0.4186046511627907,43,31,DE_LU,Quantile LightGBM,False,True,2025-06-30,4.512017523921613,8.809952150536235,4.752202813798119,0.6027777777777777,38.75023110581477
weekday_offpeak,252,14.262013657035903,22.98880767966616,0.14272439759235023,0.8235294117647058,0.5185185185185185,27,17,DE_LU,Quantile LightGBM,False,True,2025-06-30,3.397662984863406,7.131006828517951,4.955338882708974,0.6468253968253969,32.51841009337175
weekday_peak,252,21.546769967190883,28.570147053035946,0.46837531467626076,0.2,0.1111111111111111,9,5,DE_LU,Quantile LightGBM,False,True,2025-06-30,4.918638033860265,10.773384983595442,5.998791125844909,0.5555555555555556,46.17684599515919
weekend,216,16.956100108643653,23.061207324041533,0.29112215812225156,0.3333333333333333,0.42857142857142855,7,9,DE_LU,Quantile LightGBM,False,True,2025-06-30,5.337707224561091,8.478050054321827,3.060857702680868,0.6064814814814815,37.35630491609646
overall,720,12.0730704290589,18.11308942135958,0.1761238909455447,0.8387096774193549,0.6046511627906976,43,31,DE_LU,Quantile LightGBM,True,False,2025-06-30,2.6696004896436496,6.03653521452945,3.683618373384187,0.5944444444444444,27.700145646876212
weekday_offpeak,252,11.269410666312076,19.078683325112017,0.11277649056076405,0.8571428571428571,0.6666666666666666,27,21,DE_LU,Quantile LightGBM,True,False,2025-06-30,2.4578016112134753,5.634705333156038,3.9841915525536,0.5595238095238095,24.922889993591777
weekday_peak,252,13.526673697864082,18.855347280604366,0.2940375777625742,0.8,0.4444444444444444,9,5,DE_LU,Quantile LightGBM,True,False,2025-06-30,2.5295048718806803,6.763336848932041,4.128738388084553,0.5753968253968254,29.27390301832623
weekend,216,11.314803005324144,15.942805160315272,0.19426577152366167,0.8,0.5714285714285714,7,5,DE_LU,Quantile LightGBM,True,False,2025-06-30,3.0801440685356507,5.657401502662072,2.813642980536116,0.6574074074074074,29.104226975683037
overall,720,11.731086602214257,17.6975999087758,0.17113497594018257,0.90625,0.6744186046511628,43,32,DE_LU,Quantile LightGBM,True,True,2025-06-30,2.787119335606898,5.865543301107128,3.3511107482434257,0.6305555555555555,29.41742775437517
weekday_offpeak,252,10.959989124615031,18.594818620128887,0.1096800131486126,0.95,0.7037037037037037,27,20,DE_LU,Quantile LightGBM,True,True,2025-06-30,2.4547132508996308,5.479994562307516,3.5571851297855286,0.6150793650793651,26.49926474595959
weekday_peak,252,13.331065980896405,18.674060629172814,0.2897855332042787,1.0,0.5555555555555556,9,5,DE_LU,Quantile LightGBM,True,True,2025-06-30,2.8093605422395864,6.665532990448202,3.5711063329083657,0.5992063492063492,31.135748234022998
weekend,216,10.764057717617511,15.289899233041757,0.18480993228554096,0.7142857142857143,0.7142857142857143,7,7,DE_LU,Quantile LightGBM,True,True,2025-06-30,3.14897836002724,5.382028858808756,2.854029121001877,0.6851851851851852,30.817244037937538
overall,720,33.46524652777778,51.78720452720977,0.3956867476715406,,0.0,112,0,DE_LU,Persistence,False,False,2025-09-30,,,,,
weekday_offpeak,264,23.414981060606063,36.67050530634052,0.25121152144986547,,0.0,47,0,DE_LU,Persistence,False,False,2025-09-30,,,,,
weekday_peak,264,42.91705965909091,65.5756663842532,0.4847491267081648,,0.0,53,0,DE_LU,Persistence,False,False,2025-09-30,,,,,
weekend,192,34.28811848958333,47.9108583589334,0.509782670454683,,0.0,12,0,DE_LU,Persistence,False,False,2025-09-30,,,,,
overall,720,40.78588368055556,59.403807808913655,0.4822445772533936,0.5535714285714286,0.5535714285714286,112,112,DE_LU,Weekly seasonal,False,False,2025-09-30,,,,,
weekday_offpeak,264,35.04345170454545,53.19237973461239,0.375969504172039,0.5,0.5106382978723404,47,48,DE_LU,Weekly seasonal,False,False,2025-09-30,,,,,
weekday_peak,264,54.72227272727273,74.50863627148506,0.6180892662904618,0.660377358490566,0.660377358490566,53,53,DE_LU,Weekly seasonal,False,False,2025-09-30,,,,,
weekend,192,29.519192708333332,41.34268967484797,0.43888010049580983,0.2727272727272727,0.25,12,11,DE_LU,Weekly seasonal,False,False,2025-09-30,,,,,
